,T2M,WS2M,ALLSKY_SFC_SW_DWN
20250101,0.57,4.37,1.1592
20250102,0.51,5.09,1.2336
20250103,-1.28,2.06,0.4968
20250104,-2.46,5.41,0.7829
20250105,-5.94,3.39,1.2955
20250106,-2.76,3.77,0.4618
20250107,1.6,4.08,0.8448
20250108,0.83,3.46,0.5376
20250109,0.65,3.82,0.6936
20250110,1.75,3.98,0.2501
20250111,-1.19,3.06,0.7802
20250112,-2.62,1.89,0.7042
20250113,-3.02,2.75,0.4363
20250114,-3.87,4.07,1.157
20250115,-1.44,2.45,0.6113
20250116,-1.5,2.63,0.5194
20250117,0.31,4.44,0.3701
20250118,0.42,4.91,0.8369
20250119,-0.58,4.49,1.5494
20250120,-2.05,2.73,0.4586
20250121,-1.53,2.75,0.7006
20250122,-0.82,3.41,0.3866
20250123,-0.4,2.75,0.4706
20250124,0.16,1.58,0.4978
20250125,0.26,2.03,0.6341
20250126,1.57,4.23,0.7322
20250127,2.37,3.84,0.7915
20250128,2.57,3.54,0.5114
20250129,4.4,3.77,0.8844
20250130,2.85,1.96,1.4045
20250131,4.0,3.02,0.7975
